depth	min	max	median	mean
0	-68.5188	-68.481	-68.4999	-68.5
1	-67.4276	-67.1898	-67.3087	-67.3077
2	-65.8863	-65.4772	-65.6834	-65.6846
3	-64.134	-63.5387	-63.8348	-63.8352
4	-62.3394	-61.6209	-61.9753	-61.9761
5	-60.3278	-59.4502	-59.8792	-59.8827
6	-58.0381	-56.9956	-57.5027	-57.4996
7	-55.668	-54.4103	-55.0233	-55.0261
8	-53.2085	-51.7631	-52.4772	-52.4769
9	-50.8199	-49.1948	-49.9892	-49.9964
10	-48.2313	-46.3882	-47.2777	-47.2871
11	-46.0161	-44.0116	-44.9848	-44.9939
12	-43.6497	-41.4064	-42.5074	-42.5127
13	-41.2712	-38.7879	-39.9733	-39.995
14	-38.9324	-36.203	-37.4738	-37.5014
15	-36.3147	-33.2033	-34.6422	-34.6811
16	-33.9782	-30.5266	-32.1594	-32.1832
17	-31.3006	-27.5168	-29.2751	-29.3104
18	-28.3839	-24.2317	-26.1695	-26.2185
19	-25.6257	-20.9805	-23.1627	-23.2107
20	-21.6942	-16.4478	-18.9191	-18.9688
21	-13.9893	-8.8235	-11.345	-11.353
22	-3.3613	3.8532	0.6619	0.5577
23	11.5851	22.1517	18.3316	17.9254
24	29.0077	48.7157	41.9948	41.1695
25	38.6576	68.8543	58.0011	56.9466
26	44.6574	85.2972	69.0452	67.9477
27	48.8939	103.4641	79.2949	78.5977
28	52.3981	126.8457	88.3476	88.9353
29	56.2965	146.957	97.9337	99.1044
